"eez_country","eez_iso","continent","other_country","your_country","<NA>","total","perc_foreign","total_log","intake"
"Albania","ALB","Europe",0,29669.4131272406,NA,29669.4131272406,0,10.2978719330839,15.1869551695677
"Algeria","DZA","Africa",12607.3731160081,226132.270151892,NA,238739.6432679,5.28080420303756,12.3831288784195,31.6516797457835
"Angola","AGO","Africa",568831.83013859,887616.837103762,NA,1456448.66724235,39.0560850466237,14.1915116108487,40.6595919182652
"Argentina","ARG","Americas",0,2262549.64097093,NA,2262549.64097093,0,14.6320028950762,31.133065757522
"Aruba","ABW","Americas",0.00168458562230415,0,NA,0.00168458562230415,100,1,NA
"Australia","AUS","Oceania",0.0308063643521607,183746.336003672,NA,183746.366810037,1.67656998540871e-05,12.1213116444172,17.2469319565514
"Azores Isl.",NA,NA,0,0,0.0671535924704416,0,NA,1,NA
"Balearic Islands",NA,NA,0,0,10887.2042641223,0,NA,1,NA
"Bangladesh","BGD","Asia",2100.14973399332,827153.841300862,NA,829253.991034855,0.253257717984868,13.6282817696224,53.042815009967
"Belgium","BEL","Europe",7633.18394254635,1035.74034566612,NA,8668.92428821247,88.0522621811975,9.06749998920638,30.5047689900546
"Brazil","BRA","Americas",0.218559209309497,640930.772637355,NA,640930.991196565,3.41002716847044e-05,13.3706770720676,30.7537638666229
"Brunei Darussalam","BRN","Asia",5967.31841390356,28257.9771822342,NA,34225.2955961377,17.4354035807859,10.4407202869678,28.76172141943
"Bulgaria","BGR","Europe",1666.6666665,0.652199438335655,NA,1667.31886593834,99.9608833408138,7.4189721457656,30.8650957788464
"Cambodia","KHM","Asia",86948.5350881043,570659.821465639,NA,657608.356553743,13.2219328148088,13.3963648302981,43.2984168855235
"Cameroon","CMR","Africa",66799.1857426837,63128.3526795847,NA,129927.538422268,51.4126462748677,11.7747321772826,38.9593884029946
"Canada","CAN","Americas",93646.101213923,740807.473122683,NA,834453.574336606,11.2224459327617,13.6345323876265,25.0226805829673
"Cape Verde","CPV","Africa",7.75925870726941,0,NA,7.75925870726941,100,2.04888680221836,44.7376726990014
