"eez_country","eez_iso","continent","nutrient","other_country","your_country","<NA>","pop","total","per_capita"
"Albania","ALB","Europe","Calcium",0,6954655885.68646,NA,2873457,6954655885.68646,0
"Albania","ALB","Europe","DHA+EPA",0,45894891.481133,NA,2873457,45894891.481133,0
"Albania","ALB","Europe","Iron",0,133772145.490555,NA,2873457,133772145.490555,0
"Albania","ALB","Europe","Protein",0,1082005544.0955,NA,2873457,1082005544.0955,0
"Albania","ALB","Europe","Vitamin A, RAE",0,1900195168.95962,NA,2873457,1900195168.95962,0
"Albania","ALB","Europe","Vitamin B12",0,130108094.41027,NA,2873457,130108094.41027,0
"Albania","ALB","Europe","Zinc",0,57171548.4781533,NA,2873457,57171548.4781533,0
"Algeria","DZA","Africa","Calcium",2214672.17501477,91997946643.2936,NA,41318142,92000161315.4686,0.000146850625568799
"Algeria","DZA","Africa","DHA+EPA",51741.8552642717,441899981.85446,NA,41318142,441951723.709725,3.43090227952039e-06
"Algeria","DZA","Africa","Iron",98778.0422927258,1501371516.32559,NA,41318142,1501470294.36789,6.54978080584379e-06
"Algeria","DZA","Africa","Protein",911868.129036892,9015929332.57795,NA,41318142,9016841200.70698,6.04642107739602e-05
"Algeria","DZA","Africa","Vitamin A, RAE",896157.310501803,85566639073.1716,NA,41318142,85567535230.4821,5.94224568041835e-05
"Algeria","DZA","Africa","Vitamin B12",203460.428044147,2111105363.48967,NA,41318142,2111308823.91771,1.34910671989543e-05
"Algeria","DZA","Africa","Zinc",51626.9267959641,760051168.415175,NA,41318142,760102795.341971,3.42328159522362e-06
"Angola","AGO","Africa","Calcium",170474462971.236,227079478137.193,NA,29784193,397553941108.428,15.6812482113873
"Angola","AGO","Africa","DHA+EPA",1000416269.51152,2178699260.18002,NA,29784193,3179115529.69154,0.0920241986013316
"Angola","AGO","Africa","Iron",2871725028.35086,3707922278.16731,NA,29784193,6579647306.51817,0.264158233318626
"Angola","AGO","Africa","Protein",24247544696.3058,40673187695.9505,NA,29784193,64920732392.2563,2.23043240771866
"Angola","AGO","Africa","Vitamin A, RAE",49537417574.744,165941421943.964,NA,29784193,215478839518.708,4.55674431936338
"Angola","AGO","Africa","Vitamin B12",2844888590.50972,9130655553.34674,NA,29784193,11975544143.8565,0.261689659225113
"Angola","AGO","Africa","Zinc",1170630729.9236,1531307851.33441,NA,29784193,2701938581.25801,0.107681530241318
"Argentina","ARG","Americas","Calcium",0,147653358100.113,NA,44271041,147653358100.113,0
"Argentina","ARG","Americas","DHA+EPA",0,1188375508.15264,NA,44271041,1188375508.15264,0
"Argentina","ARG","Americas","Iron",0,3537450530.31412,NA,44271041,3537450530.31412,0
"Argentina","ARG","Americas","Protein",0,82587598017.7196,NA,44271041,82587598017.7196,0
"Argentina","ARG","Americas","Vitamin A, RAE",0,74802865446.4919,NA,44271041,74802865446.4919,0
"Argentina","ARG","Americas","Vitamin B12",0,4203168157.0659,NA,44271041,4203168157.0659,0
"Argentina","ARG","Americas","Zinc",0,1900514963.59679,NA,44271041,1900514963.59679,0
"Australia","AUS","Oceania","Calcium",0,48757066448.9685,NA,24598933,48757066448.9685,0
"Australia","AUS","Oceania","DHA+EPA",0,225706591.945648,NA,24598933,225706591.945648,0
