"iso3c","nutrient","per_capita"
"ALB","Calcium",0
"ALB","DHA+EPA",0
"ALB","Iron",0
"ALB","Protein",0
"ALB","Vitamin A, RAE",0
"ALB","Vitamin B12",0
"ALB","Zinc",0
"DZA","Calcium",-0.0172208341808898
"DZA","DHA+EPA",-0.00011232068568462
"DZA","Iron",-0.000317210038135216
"DZA","Protein",-0.00262838846954096
"DZA","Vitamin A, RAE",-0.00466499669806489
"DZA","Vitamin B12",-0.00030159156400575
"DZA","Zinc",-0.000132090110997417
"AGO","Calcium",14.3932616343102
"AGO","DHA+EPA",0.0893535156683424
"AGO","Iron",0.256195733888876
"AGO","Protein",2.15919251935356
"AGO","Vitamin A, RAE",4.46836859054254
"AGO","Vitamin B12",0.253134147677714
"AGO","Zinc",0.105114078946313
"ARG","Calcium",0
"ARG","DHA+EPA",0
"ARG","Iron",0
"ARG","Protein",0
"ARG","Vitamin A, RAE",0
"ARG","Vitamin B12",0
"ARG","Zinc",0
"AUS","Calcium",0
"AUS","DHA+EPA",0
"AUS","Iron",0
"AUS","Protein",0
"AUS","Vitamin A, RAE",0
"AUS","Vitamin B12",0
"AUS","Zinc",0
"BGD","Calcium",0.00936226678933193
"BGD","DHA+EPA",5.82599655641957e-05
"BGD","Iron",0.000101453840420681
"BGD","Protein",0.00148482400308299
"BGD","Vitamin A, RAE",0.228429009100177
"BGD","Vitamin B12",0.000162772657130566
"BGD","Zinc",6.03691616375642e-05
"BEL","Calcium",-1.09214475128698
"BEL","DHA+EPA",-0.00841979863884995
"BEL","Iron",-0.0336809378070249
"BEL","Protein",-0.366439157289241
"BEL","Vitamin A, RAE",-9.72500182543996
"BEL","Vitamin B12",-0.0293683257580677
"BEL","Zinc",-0.0233676404061704
"BRA","Calcium",0
"BRA","DHA+EPA",0
"BRA","Iron",0
"BRA","Protein",0
"BRA","Vitamin A, RAE",0
"BRA","Vitamin B12",0
"BRA","Zinc",0
"BRN","Calcium",12.0056627825332
"BRN","DHA+EPA",0.0724319164146577
"BRN","Iron",0.231926978879937
"BRN","Protein",1.87692980039586
"BRN","Vitamin A, RAE",7.21040954338625
"BRN","Vitamin B12",0.310817302757222
"BRN","Zinc",0.126509540955045
"BGR","Calcium",0.00996645944926162
"BGR","DHA+EPA",0.00113574617033312
"BGR","Iron",0.000464623433318096
"BGR","Protein",0.0245540578302132
"BGR","Vitamin A, RAE",0.0133617196509779
"BGR","Vitamin B12",0.00162479920877608
"BGR","Zinc",0.000770787331507643
"KHM","Calcium",-1.54188656635306
"KHM","DHA+EPA",0.0120160651964408
"KHM","Iron",-0.023958137704447
"KHM","Protein",-0.0670539276094188
"KHM","Vitamin A, RAE",0.548881370671829
"KHM","Vitamin B12",-0.00465884981398676
"KHM","Zinc",-0.0140640541609027
"CMR","Calcium",-5.17978033712939
"CMR","DHA+EPA",-0.00578991103170482
"CMR","Iron",-0.0211280766549834
"CMR","Protein",-0.198984513747327
"CMR","Vitamin A, RAE",-0.232512733483013
"CMR","Vitamin B12",-0.0155447540798506
"CMR","Zinc",-0.00369960466696424
"CAN","Calcium",0.29027444183802
"CAN","DHA+EPA",0.0181958653870466
"CAN","Iron",0.00991073474661795
"CAN","Protein",0.246040662488329
"CAN","Vitamin A, RAE",0.175693963300888
"CAN","Vitamin B12",0.019627912776074
"CAN","Zinc",0.00735262973234982
"CPV","Calcium",-364.696078787479
"CPV","DHA+EPA",-2.35487383345533
"CPV","Iron",-6.70893753547027
"CPV","Protein",-55.5484216846912
"CPV","Vitamin A, RAE",-98.5314197691843
"CPV","Vitamin B12",-6.42575449552611
"CPV","Zinc",-2.77979287012626
"CHL","Calcium",-0.597741614982476
"CHL","DHA+EPA",-0.00340896430514941
"CHL","Iron",-0.00939336498696963
"CHL","Protein",-0.0798371306797584
"CHL","Vitamin A, RAE",-0.35746209911914
"CHL","Vitamin B12",-0.00920913499421316
"CHL","Zinc",-0.0041097448426537
"CHN","Calcium",-9.57504652139251
"CHN","DHA+EPA",-0.0629609251169483
"CHN","Iron",-0.180021476920718
"CHN","Protein",-1.23299621061009
"CHN","Vitamin A, RAE",-41.7726264399841
"CHN","Vitamin B12",-0.186227506303451
"CHN","Zinc",-0.0924769383026023
"COG","Calcium",37.0785314950525
"COG","DHA+EPA",0.233956498554545
"COG","Iron",0.648953175340787
"COG","Protein",6.23513504429784
"COG","Vitamin A, RAE",9.77869387563423
"COG","Vitamin B12",0.714212170214285
"COG","Zinc",0.275040577343375
"CIV","Calcium",16.6587021528818
"CIV","DHA+EPA",0.180308932865683
"CIV","Iron",0.204439559838706
