"iso3c","nutrient","ASF","bottom_trawl","Fish","Other","total","perc_fish","perc_ASF","perc_tot"
"AGO","Calcium",1269.474070429,18.1315392069339,247.67956469,4762.38115312,6031.855223549,7.32056325665288,1.42827172521977,0.300596392568351
"AGO","DHA+EPA",2.900995002,0.182346461213984,2.444461043,11.773592936,14.674587938,7.45957730585048,6.28565237403963,1.24260021463223
"AGO","Iron",24.467433124,0.31563202495142,8.894228907,253.690115858,278.157548982,3.54872837490171,1.29000873672285,0.113472392213179
"AGO","Protein",407.727301474,3.40780528022974,184.302577053,705.608494892,1113.335796366,1.84902747141173,0.835805026523848,0.306089617467886
"AGO","Vitamin A",1603.241892237,14.8510277345949,160.863582971,16214.736592252,17817.978484489,9.23206325528149,0.926312355390947,0.0833485557720431
"AGO","Vitamin B12",32.171830838,0.786426511612994,14.889458349,39.902717914,72.074548752,5.28176709440752,2.44445681556954,1.09112928936814
"AGO","Zinc",32.99250921,0.129104080126521,6.315229444,125.606322136,158.598831346,2.04432920880144,0.391313310863272,0.0814029202049206
"ALB","Calcium",27795.208073287,4.71019391835705,90.206366025,8413.610083867,36208.818157154,5.221575955129,0.0169460646091865,0.0130084166180564
"ALB","DHA+EPA",2.109547385,0.0310826617412877,0.663474569,1.11121326,3.220760645,4.68483091795605,1.47342799513781,0.965072079775356
"ALB","Iron",60.415259699,0.0908142291927117,3.073637056,493.592925548,554.008185247,2.95461785299063,0.150316707476166,0.0163922179511162
"ALB","Protein",1338.03723601,0.733596368556588,47.439343349,1069.951240429,2407.988476439,1.54638811747391,0.0548263044415832,0.0304651112633832
"ALB","Vitamin A",12363.882593718,1.2871548632985,76.204616225,15770.771120758,28134.653714476,1.68907728568316,0.0104106040601881,0.00457498029427043
"ALB","Vitamin B12",143.002083813,0.0887211077764003,8.147480873,67.81223621,210.814320023,1.08893913541318,0.062041828629867,0.0420849531316092
"ALB","Zinc",164.055530855,0.0389918324433292,1.762598853,119.647472972,283.703003827,2.21217847594555,0.0237674598595472,0.0137438912938356
"ARE","Calcium",9537.327289983,0,405.35687845,7020.977830916,16558.305120899,0,0,0
"ARE","DHA+EPA",5.608305504,0,4.145182395,28.085297907,33.693603411,0,0,0
"ARE","Iron",60.312294016,0,10.238437747,490.468433035,550.780727051,0,0,0
"ARE","Protein",989.454904507,0,225.70818668,1339.432285227,2328.887189734,0,0,0
"ARE","Vitamin A",7502.503902351,0,326.77100416,12439.658505258,19942.162407609,0,0,0
"ARE","Vitamin B12",86.713347431,0,21.740430213,37.636761728,124.350109159,0,0,0
"ARE","Zinc",97.457906516,0,7.629069193,174.05512369,271.513030206,0,0,0
"ARG","Calcium",9268.303739591,7.82718068441639,106.13940363,3303.603486285,12571.907225876,7.37443439168153,0.0844510592696846,0.0622592940258593
"ARG","DHA+EPA",2.750128852,0.0607409947258187,0.655558454,12.193638704,14.943767556,9.26553450042438,2.20865995721057,0.406463728093997
"ARG","Iron",92.293966792,0.184481249765424,3.946543421,339.088349362,431.382316154,4.67450196503043,0.199884408675579,0.0427651396121592
"ARG","Protein",1240.294586936,4.34238387416958,58.190555335,845.60948752,2085.904074456,7.46235166372052,0.350109072466157,0.20817754408491
"ARG","Vitamin A",7874.550085867,3.69325759368432,99.210797593,20653.358084821,28527.908170688,3.72263673238014,0.0469011886826762,0.0129461212914275
"ARG","Vitamin B12",132.21804555,0.228125028658089,13.36135147,170.932075399,303.150120949,1.70734995760193,0.172536984425338,0.0752515050774028
"ARG","Zinc",172.505492691,0.0998509318503086,2.543442416,94.621923702,267.127416393,3.92581845856536,0.0578827550895242,0.037379514689502
"ARM","Calcium",15126.649101335,0,158.464240722,6774.742570656,21901.391671991,0,0,0
"ARM","DHA+EPA",3.004124237,0,1.607019606,9.08882134,12.092945577,0,0,0
"ARM","Iron",48.364475022,0,2.602459383,449.489651023,497.854126045,0,0,0
"ARM","Protein",914.279457883,0,51.780767451,1107.929518447,2022.20897633,0,0,0
"ARM","Vitamin A",8415.975547848,0,132.371927026,22385.337077506,30801.312625354,0,0,0
"ARM","Vitamin B12",100.269568602,0,5.512638649,141.462438397,241.732006999,0,0,0
"ARM","Zinc",110.904462218,0,2.054739494,139.776842762,250.68130498,0,0,0
"ATG","Calcium",9066.85270737,0,994.74541526,4108.175018782,13175.027726152,0,0,0
"ATG","DHA+EPA",9.251693377,0,7.542216741,23.555499488,32.807192865,0,0,0
"ATG","Iron",72.340648695,0,23.975355422,299.607108688,371.947757383,0,0,0
"ATG","Protein",1316.678501236,0,499.38867604,565.030705974,1881.70920721,0,0,0
"ATG","Vitamin A",9427.724737321,0,1031.80749051,12418.633987834,21846.358725155,0,0,0
"ATG","Vitamin B12",120.551893043,0,57.942372194,65.68574437,186.237637413,0,0,0
"ATG","Zinc",108.884477632,0,17.725675722,78.616685575,187.501163207,0,0,0
"AUS","Calcium",14093.524322227,2.93877110540086,460.54448156,4938.682727398,19032.207049625,0.63810798371666,0.0208519248855739,0.0154410421121326
"AUS","DHA+EPA",5.761133284,0.0107504427412276,3.666214724,11.375420354,17.136553638,0.293230035623729,0.18660291667065,0.0627339835554138
"AUS","Iron",88.574245848,0.0387194629237142,12.048078555,348.774066277,437.348312125,0.321374588877041,0.0437141321983816,0.00885323250376411
