"iso3c","nutrient","ASF","bottom_trawl","Fish","Other","total","perc_fish","perc_ASF","perc_tot"
"AGO","Calcium",1269.474070429,66.2006320450435,247.67956469,4762.38115312,6031.855223549,26.7283383382482,5.2148077370869,1.097516926245
"AGO","DHA+EPA",2.900995002,0.665770889375257,2.444461043,11.773592936,14.674587938,27.2358968976728,22.949742723316,4.53689665555267
"AGO","Iron",24.467433124,1.15241399568825,8.894228907,253.690115858,278.157548982,12.956873583288,4.70999139896638,0.414302613718683
"AGO","Protein",407.727301474,12.4423448479967,184.302577053,705.608494892,1113.335796366,6.7510422517959,3.05163397275965,1.11757341213759
"AGO","Vitamin A",1603.241892237,54.2230536154745,160.863582971,16214.736592252,17817.978484489,33.7074759955146,3.38208812269851,0.304316528739088
"AGO","Vitamin B12",32.171830838,2.87134652671127,14.889458349,39.902717914,72.074548752,19.284425661489,8.92503302398245,3.98385640483333
"AGO","Zinc",32.99250921,0.471375960221907,6.315229444,125.606322136,158.598831346,7.46411455675223,1.42873631472393,0.297212757635995
"ALB","Calcium",27795.208073287,17.9416103442375,90.206366025,8413.610083867,36208.818157154,19.8895168210912,0.0645492931620849,0.0495503892625467
"ALB","DHA+EPA",2.109547385,0.118397037381094,0.663474569,1.11121326,3.220760645,17.8450000818485,5.61243792023635,3.6760582493113
"ALB","Iron",60.415259699,0.345920686521595,3.073637056,493.592925548,554.008185247,11.254441569356,0.572571711592461,0.0624396345998695
"ALB","Protein",1338.03723601,2.79434359237186,47.439343349,1069.951240429,2407.988476439,5.89035048781038,0.208839000677182,0.116044724454173
"ALB","Vitamin A",12363.882593718,4.90290451099882,76.204616225,15770.771120758,28134.653714476,6.43386812227047,0.0396550555526138,0.0174265678218607
"ALB","Vitamin B12",143.002083813,0.337947772984367,8.147480873,67.81223621,210.814320023,4.14788053205862,0.236323670238465,0.160305890485759
"ALB","Zinc",164.055530855,0.148523877452168,1.762598853,119.647472972,283.703003827,8.42641405328137,0.090532685291446,0.0523518875192231
"ARE","Calcium",9537.327289983,0,405.35687845,7020.977830916,16558.305120899,0,0,0
"ARE","DHA+EPA",5.608305504,0,4.145182395,28.085297907,33.693603411,0,0,0
"ARE","Iron",60.312294016,0,10.238437747,490.468433035,550.780727051,0,0,0
"ARE","Protein",989.454904507,0,225.70818668,1339.432285227,2328.887189734,0,0,0
"ARE","Vitamin A",7502.503902351,0,326.77100416,12439.658505258,19942.162407609,0,0,0
"ARE","Vitamin B12",86.713347431,0,21.740430213,37.636761728,124.350109159,0,0,0
"ARE","Zinc",97.457906516,0,7.629069193,174.05512369,271.513030206,0,0,0
"ARG","Calcium",9268.303739591,46.8631150306258,106.13940363,3303.603486285,12571.907225876,44.1524197686184,0.505627743191483,0.372760585873321
"ARG","DHA+EPA",2.750128852,0.36367018185462,0.655558454,12.193638704,14.943767556,55.4748672121647,13.2237506468159,2.43359099699462
"ARG","Iron",92.293966792,1.10453129643005,3.946543421,339.088349362,431.382316154,27.9873088574856,1.19675352010744,0.256044639538664
"ARG","Protein",1240.294586936,25.998842138332,58.190555335,845.60948752,2085.904074456,44.6788005178127,2.09618282722326,1.24640641229451
"ARG","Vitamin A",7874.550085867,22.1123751231591,99.210797593,20653.358084821,28527.908170688,22.2882747237578,0.280808108171738,0.0775113793512532
"ARG","Vitamin B12",132.21804555,1.36583654963447,13.36135147,170.932075399,303.150120949,10.2222934012413,1.03301825704114,0.450547915124945
"ARG","Zinc",172.505492691,0.597830290864825,2.543442416,94.621923702,267.127416393,23.5047700354473,0.346557249591865,0.223799675427284
"ARM","Calcium",15126.649101335,0,158.464240722,6774.742570656,21901.391671991,0,0,0
"ARM","DHA+EPA",3.004124237,0,1.607019606,9.08882134,12.092945577,0,0,0
"ARM","Iron",48.364475022,0,2.602459383,449.489651023,497.854126045,0,0,0
"ARM","Protein",914.279457883,0,51.780767451,1107.929518447,2022.20897633,0,0,0
"ARM","Vitamin A",8415.975547848,0,132.371927026,22385.337077506,30801.312625354,0,0,0
"ARM","Vitamin B12",100.269568602,0,5.512638649,141.462438397,241.732006999,0,0,0
"ARM","Zinc",110.904462218,0,2.054739494,139.776842762,250.68130498,0,0,0
"ATG","Calcium",9066.85270737,0,994.74541526,4108.175018782,13175.027726152,0,0,0
"ATG","DHA+EPA",9.251693377,0,7.542216741,23.555499488,32.807192865,0,0,0
