"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","discard_ratio"
2017,"Georgia","Calcium",219276431.230595,25467220934.1411,106343.266266141,106343.266266141,116.142080529208
2018,"Georgia","Calcium",217131064.729503,24629915248.6215,105501.121119366,105501.121119366,113.433401523199
2017,"Georgia","Vitamin A, RAE",121331494.805849,11416579144.4218,59808.8786229203,59808.8786229203,94.0941110359701
2018,"Georgia","Vitamin A, RAE",117778985.771778,11041227367.6602,58093.267464922,58093.267464922,93.7453085990654
2017,"Georgia","DHA+EPA",3017084.8319561,246861736.038465,1488.13980479763,1488.13980479763,81.8212777525433
2018,"Georgia","DHA+EPA",2955298.87317567,238745470.205739,1458.70655759956,1458.70655759956,80.7855585682916
2017,"Malta","Vitamin A, RAE",12776231177.0752,974532291986.367,NA,12789020.1972725,76.2769770270753
2014,"Malta","Vitamin A, RAE",12782523769.537,974536071653.013,NA,12795319.0886256,76.2397230174141
2016,"Malta","Vitamin A, RAE",12782527689.537,974536071321.179,NA,12795319.0886256,76.2396996111242
2015,"Malta","Vitamin A, RAE",12790922392.8194,974541110434.261,NA,12803717.6104299,76.1900573317019
2017,"Georgia","Zinc",2346811.84727475,142590333.33081,1148.68965345828,1148.68965345828,60.7591671639096
2018,"Georgia","Zinc",2315750.72670596,137902279.730192,1134.90482789603,1134.90482789603,59.5497080665289
2017,"Georgia","Iron",3750385.68703888,183640761.32995,1814.26807849868,1814.26807849868,48.9658335580263
2018,"Georgia","Iron",3705343.88341756,177603060.791193,1795.99686319843,1795.99686319843,47.9315999753804
2014,"Georgia","Calcium",370593863.329547,17741545315.4953,182077.716766117,182077.716766117,47.8732841286116
2014,"Georgia","Vitamin A, RAE",172094654.567652,7953272827.15659,85215.8654906897,85215.8654906897,46.2145256465829
2016,"Georgia","Calcium",396948855.672259,17576011336.5936,195268.403624331,195268.403624331,44.2777730315597
2016,"Georgia","Vitamin A, RAE",186219071.452102,7879066388.3736,92285.1432106343,92285.1432106343,42.3107382446605
2015,"Georgia","Calcium",388378255.065073,13879437087.862,190978.813730845,190978.813730845,35.7369057274755
2015,"Georgia","Vitamin A, RAE",181537276.249274,6221946729.22381,89941.902368378,89941.902368378,34.2736591502028
2017,"Georgia","Protein",85106543.3462733,2890743768.79215,42078.0246462289,42078.0246462289,33.9661752802082
2016,"Georgia","DHA+EPA",5106063.70198715,170369773.851792,2533.67477478315,2533.67477478315,33.3661669331482
2018,"Georgia","Protein",84093146.248802,2795702531.30302,41606.0462689055,41606.0462689055,33.2453078046517
2014,"Georgia","DHA+EPA",5345116.72968051,171974346.471266,2653.32093478983,2653.32093478983,32.1741049201643
2015,"Georgia","DHA+EPA",5282890.76017855,134537723.751122,2622.17680590997,2622.17680590997,25.4666866794298
2018,"Guinea","Vitamin A, RAE",18384425196.1067,454071264524.731,NA,2248029.82793679,24.6986924900372
2017,"Georgia","Vitamin B12",25248248.6259675,609429499.95035,12576.8791379513,12576.8791379513,24.1374959894668
2016,"Georgia","Zinc",4169007.96228733,98407648.0740476,2060.69972103214,2060.69972103214,23.604571870392
2018,"Georgia","Vitamin B12",25168439.4884486,589392810.96291,12541.0082222336,12541.0082222336,23.4179322573185
2014,"Georgia","Zinc",4279403.55521444,99334468.6835757,2115.95277054521,2115.95277054521,23.2122227786947
2015,"Guinea","Vitamin A, RAE",10759299340.1705,225530028353.923,NA,317789.603793967,20.9614047554094
2016,"Guinea","Vitamin A, RAE",10855117755.0878,225532805420.193,NA,335323.765695101,20.7766337048243
2017,"Guinea","Vitamin A, RAE",10960964833.9096,225537450580.761,NA,353027.889780259,20.5764231523691
2016,"Georgia","Iron",6442784.87595749,126738292.778106,3161.81522009958,3161.81522009958,19.6713525623143
