"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","fmfo_dhc_ratio","dhc_fmfo_ratio"
2014,"Albania","Calcium",5585354189.97747,2272086277.53582,0,5590945.13511258,Inf,0
2014,"Albania","DHA+EPA",36857861.4192212,14994651.2800544,0,36894.7561753966,Inf,0
2014,"Albania","Iron",107687632.838032,43449233.7390068,0,107795.428266299,Inf,0
2014,"Albania","Protein",869899545.937986,352560316.015641,0,870770.316254241,Inf,0
2014,"Albania","Vitamin A, RAE",1526309948.10973,620549508.610674,0,1527837.78589563,Inf,0
2014,"Albania","Vitamin B12",105205606.786335,41791116.8956603,0,105310.91770404,Inf,0
2014,"Albania","Zinc",46236566.5767363,18356104.5284735,0,46282.8494261625,Inf,0
2014,"Algeria","Calcium",67598746027.7039,25307946796.6218,0,12041035.4101293,Inf,0
2014,"Algeria","DHA+EPA",351825425.129099,72869587.7307084,0,98318.1878550078,Inf,0
2014,"Algeria","Iron",1027433024.61141,558570955.670601,0,119481.69909627,Inf,0
2014,"Algeria","Protein",6031693729.36918,3019259779.65779,0,1040315.71598052,Inf,0
2014,"Algeria","Vitamin A, RAE",6155795600.62468,71550540087.9957,0,1028336.79803496,Inf,0
2014,"Algeria","Vitamin B12",1621204223.97844,486160633.251248,0,288486.704610159,Inf,0
2014,"Algeria","Zinc",513314466.540365,266892643.571866,0,92278.5510737825,Inf,0
2014,"Belize","Calcium",4772330827.50617,1453021043.98353,0,NA,Inf,0
2014,"Belize","DHA+EPA",30650576.2025503,6140165.33105756,0,NA,Inf,0
2014,"Belize","Iron",178178321.956082,41079951.2791351,0,NA,Inf,0
2014,"Belize","Protein",729332475.466874,169123640.107449,0,NA,Inf,0
2014,"Belize","Vitamin A, RAE",2395829871.91503,541585646.074853,0,NA,Inf,0
2014,"Belize","Vitamin B12",168112256.074085,38001845.2226975,0,NA,Inf,0
2014,"Belize","Zinc",74629854.3159808,16870108.8516737,0,NA,Inf,0
2014,"Brunei Darussalam","Calcium",7740053256.57679,7806757951.83838,0,1372813.53749957,Inf,0
2014,"Brunei Darussalam","DHA+EPA",54738676.9521344,18512929.2273016,0,11762.3850823733,Inf,0
2014,"Brunei Darussalam","Iron",124607359.688745,51842367.4050214,0,18473.4047625281,Inf,0
2014,"Brunei Darussalam","Protein",1139440766.65459,429050139.110825,0,111141.859267667,Inf,0
2014,"Brunei Darussalam","Vitamin A, RAE",7885390562.0127,668478840.685936,0,4947609.57427864,Inf,0
2014,"Brunei Darussalam","Vitamin B12",191852870.137081,44746551.2116927,0,46576.8811010467,Inf,0
2014,"Brunei Darussalam","Zinc",73355705.9165607,62581593.3414572,0,12855.1799831638,Inf,0
2014,"Cameroon","Calcium",53985534015.3315,1359572460.70877,0,515965.717069476,Inf,0
2014,"Cameroon","DHA+EPA",136227762.288694,7541268.66578763,0,3390.49109451194,Inf,0
2014,"Cameroon","Iron",287201308.347877,21808437.3565357,0,5717.67131450185,Inf,0
2014,"Cameroon","Protein",2702586707.48845,181318055.068028,0,49060.6304143557,Inf,0
2014,"Cameroon","Vitamin A, RAE",3342596771.4897,316723448.959465,0,39747.72470624,Inf,0
2014,"Cameroon","Vitamin B12",456870605.691456,20581629.3159776,0,18616.8574579154,Inf,0
2014,"Cameroon","Zinc",110536595.946954,8808412.13843246,0,3030.90195183215,Inf,0
2014,"Congo, R. of","Calcium",3522756978.88845,36749754.8459037,0,434296.175097231,Inf,0
2014,"Congo, R. of","DHA+EPA",39865833.1640919,251984.65636858,0,5560.80617736184,Inf,0
2014,"Congo, R. of","Iron",29939073.8557067,664566.633948363,0,7030.06800050397,Inf,0
2014,"Congo, R. of","Protein",450093086.292636,7757964.15721524,0,62967.3169649477,Inf,0
2014,"Congo, R. of","Vitamin A, RAE",547299794.339373,10638661.2186411,0,36876.5865650062,Inf,0
2014,"Congo, R. of","Vitamin B12",92651680.6546309,877031.940020988,0,24168.538747346,Inf,0
2014,"Congo, R. of","Zinc",16775604.1270123,295098.355208662,0,3142.20843728866,Inf,0
2014,"Cook Islands","Calcium",272601.569444445,32676.4001959732,0,NA,Inf,0
2014,"Cook Islands","DHA+EPA",1515.95038685185,210.994316277946,0,NA,Inf,0
2014,"Cook Islands","Iron",2832.78,601.114024937356,0,NA,Inf,0
2014,"Cook Islands","Protein",51457.5396825397,4977.08246071211,0,NA,Inf,0
2014,"Cook Islands","Vitamin A, RAE",39342.1052631579,8828.31566207075,0,NA,Inf,0
2014,"Cook Islands","Vitamin B12",3363.46153846154,575.741110666676,0,NA,Inf,0
2014,"Cook Islands","Zinc",2423.91388888889,249.066632655216,0,NA,Inf,0
2014,"Côte d'Ivoire","Calcium",7058269630.87268,596896234.494187,0,NA,Inf,0
2014,"Côte d'Ivoire","DHA+EPA",40007303.9544088,7790010.99352402,0,NA,Inf,0
2014,"Côte d'Ivoire","Iron",73627715.9860263,4967847.27522618,0,NA,Inf,0
2014,"Côte d'Ivoire","Protein",668400180.358843,86397232.4159538,0,NA,Inf,0
