"year","fishing_entity","nutrient","Reported","Unreported","reporting_ratio"
2016,"Malta","Vitamin A, RAE",3920,987331390409.804,251870252.655562
2015,"Malta","Vitamin A, RAE",8500,987344828044.691,116158215.064081
2015,"Malta","Vitamin B12",300,1964812290.52036,6549374.30173453
2016,"Malta","Calcium",8761.1184,57078470809.9484,6514975.39514458
2015,"Malta","Calcium",10000,57128330570.224,5712833.0570224
2015,"Malta","DHA+EPA",100,408485250.611636,4084852.50611636
2016,"Malta","Iron",483.6564,1362521773.8262,2817127.55961919
2016,"Malta","Vitamin B12",813.4,1963935355.30267,2414476.70924843
2015,"Malta","Iron",600,1363441469.21967,2272402.44869946
2016,"Malta","Zinc",324.0432,727873679.62574,2246224.20598778
2015,"Malta","Zinc",500,728252835.682746,1456505.67136549
2016,"Malta","DHA+EPA",352.25472,408164352.729629,1158719.32881305
2015,"Malta","Protein",14725,10422259384.6571,707793.506598109
2016,"Malta","Protein",19157.25,10414675884.5084,543641.487400769
2016,"Sierra Leone","Vitamin A, RAE",21537232.7586207,1352641031504.56,62804.7737917091
2017,"Sierra Leone","Vitamin A, RAE",21537232.7586207,1352641031504.56,62804.7737917091
2015,"Sierra Leone","Vitamin A, RAE",43074465.5172414,1352641031504.56,31402.3868958545
2014,"Sierra Leone","Vitamin A, RAE",43752041.3793103,1352641031800.95,30916.0667515869
2018,"Sierra Leone","Vitamin A, RAE",96595921.5514167,378135194857.173,3914.60828556718
2017,"Poland","Calcium",209801145.865218,251094755515.355,1196.82261257365
2016,"Sierra Leone","DHA+EPA",718504.747944445,598181651.72438,832.536811253796
2017,"Sierra Leone","DHA+EPA",718504.747944445,598181651.72438,832.536811253796
2017,"Poland","Vitamin B12",6121678.21621071,4416263392.99236,721.413840619348
2016,"Sierra Leone","Vitamin B12",4022800,2769629134.47793,688.482930913278
2017,"Sierra Leone","Vitamin B12",4022800,2769629134.47793,688.482930913278
2017,"Poland","Iron",9109483.24841197,4631604498.21253,508.437676639884
2017,"Poland","Zinc",3976661.80186994,1909437528.58003,480.160904727215
2017,"Senegal","Vitamin A, RAE",3261316398.9764,1364384479901.85,418.353913876642
2015,"Sierra Leone","DHA+EPA",1437009.49588889,598181651.72438,416.268405626898
2017,"Poland","Protein",92377475.6037941,38190659266.6922,413.419602744845
2014,"Sierra Leone","DHA+EPA",1459614.13964444,598181651.733018,409.821771032399
2016,"Senegal","Vitamin A, RAE",3340605714.40432,1365301016583.14,408.698641296132
2017,"Poland","DHA+EPA",4342643.38253996,1616048187.60857,372.134675876462
2015,"Poland","Calcium",664836625.655975,234615031448.126,352.89125537667
2015,"Sierra Leone","Vitamin B12",8045600,2769629134.47793,344.241465456639
2014,"Sierra Leone","Vitamin B12",8172160,2769629134.73423,338.910292350398
2017,"Japan","Calcium",1334593777.22673,445554446286.784,333.850235097484
2015,"Poland","Vitamin B12",13886745.2633612,4126417426.37572,297.147916816971
2018,"Sierra Leone","Vitamin B12",6303815.08407654,1642684803.24461,260.585816895873
2018,"Togo","Vitamin A, RAE",17433561.6312872,4446874659.29484,255.075512012086
2016,"Sierra Leone","Iron",5038191.32608696,1251185033.96354,248.340119098913
2017,"Sierra Leone","Iron",5038191.32608696,1251185033.96354,248.340119098913
2017,"Togo","Vitamin A, RAE",20995379.5701414,4999095908.37288,238.104573993144
2015,"Togo","Vitamin A, RAE",19994455.3987239,4698920220.08437,235.011163163977
2016,"Sierra Leone","Zinc",3740857.75342466,819658510.448453,219.109777616665
2017,"Sierra Leone","Zinc",3740857.75342466,819658510.448453,219.109777616665
2016,"Sierra Leone","Protein",48101203.7037037,10424863889.6745,216.72771338302
2017,"Sierra Leone","Protein",48101203.7037037,10424863889.6745,216.72771338302
2018,"Sierra Leone","DHA+EPA",2306762.08258013,496298357.698862,215.149347844208
2016,"Poland","Vitamin B12",20221309.6571564,4271340408.53307,211.229662220292
2017,"Georgia","Vitamin A, RAE",57176491.0486097,11480853765.9363,200.796753270074
2017,"Japan","Protein",376729099.707131,75466698235.266,200.32086264091
2018,"Georgia","Vitamin A, RAE",57992970.2240929,11101129569.7429,191.421986610559
2016,"Poland","Calcium",1374287713.3022,242854893416.3,176.713282863278
2015,"Poland","Iron",24560134.8018744,4327625373.0316,176.205277696657
2015,"Poland","Zinc",10286802.2045534,1784118289.91243,173.437600377181
2018,"Sierra Leone","Zinc",2725548.73286414,453670418.306064,166.451038954393
2017,"Georgia","Calcium",159629438.276678,25527080613.6275,159.914617812428
2016,"Togo","Vitamin A, RAE",31849399.8959967,4926523053.16853,154.681817216524
2018,"Georgia","Calcium",161554470.985824,24685702844.6074,152.801112181993
2015,"Venezuela","Vitamin A, RAE",4585592.90510939,655066356.483171,142.853142448227
2014,"Togo","Vitamin A, RAE",31207533.0126468,4366671129.72879,139.923624464619
2015,"Poland","DHA+EPA",11028304.8259195,1509984529.86122,136.919005567597
2015,"Poland","Protein",266679279.013391,35684149222.8289,133.809230904052
2018,"Sierra Leone","Protein",54513699.1462543,7248261499.65434,132.962202403621
2017,"Georgia","DHA+EPA",1930160.32351953,247951636.826511,128.461679480794
2015,"Sierra Leone","Iron",10076382.6521739,1251185033.96354,124.170059549456
2018,"Georgia","DHA+EPA",1942458.34455288,239761228.147477,123.431850582446
2014,"Sierra Leone","Iron",10234887.5478261,1251185034.07412,122.24707191237
2015,"Venezuela","Vitamin B12",299254.143036218,35178789.7447183,117.554896275774
2015,"Venezuela","Calcium",17014643.1940333,1974567217.36957,116.051050548154
2018,"Sierra Leone","Iron",6611194.96306261,766466744.011281,115.934675696845
2018,"Sierra Leone","Calcium",358414969.057744,40909244692.354,114.139330731366
2015,"Sierra Leone","Zinc",7481715.50684932,819658510.448453,109.554888808332
2015,"Sierra Leone","Protein",96202407.4074074,10424863889.6745,108.36385669151
2015,"Venezuela","Zinc",129387.004453382,13980168.649806,108.049248909252
2014,"Sierra Leone","Zinc",7599405.41369863,819658510.540813,107.858242312392
2016,"Sierra Leone","Calcium",471829791.329545,50399055620.2332,106.816179364631
2017,"Sierra Leone","Calcium",471829791.329545,50399055620.2332,106.816179364631
2014,"Sierra Leone","Protein",97715703.7037037,10424863890.1213,106.685655375639
2015,"Venezuela","Protein",2587869.42576319,261590870.377987,101.083488901625
2015,"Venezuela","DHA+EPA",109506.402234843,10826804.0703207,98.8691423456865
