"country","Calcium","DHA+EPA","Iron","Vitamin A","Vitamin B12","Zinc"
"Albania",0,0,0,0,0,0
"Algeria",-0.00590480908093127,0,-0.00162955508461124,-0.016146197310281,-0.542499088411164,-0.029993250261465
"Angola",-0.63782968538419,-0.598185588283356,-5.78871707861971,-1.92837359931962,-19.4911629931754,-6.29083746461781
"Antigua & Barbuda",0,0,0,0,0,0
"Argentina",0,0,0,0,0,0
"Armenia",0,0,0,0,0,0
"Australia",-4.38766981858407e-07,0,-2.49664267037986e-08,-8.84300600400597e-19,0,-9.66469682062154e-11
"Austria",0,0,0,0,0,0
"Azerbaijan",0,0,0,0,0,0
"Bahamas",0,0,0,0,0,0
"Bangladesh",-0.000419465942911756,-0.00190755401806353,-0.00225415367494008,-0.0461036124905121,-0.0172278976957045,-0.0023445093175134
"Barbados",0,0,0,0,0,0
"Belarus",0,0,0,0,0,0
"Belgium",0,0,0,0,0,0
"Belize",0,0,0,0,0,0
"Benin",0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0
"Bosnia & Herzegovina",0,0,0,0,0,0
"Botswana",0,0,0,0,0,0
"Brazil",-6.91750301484717e-09,0,-1.33646107514096e-08,-8.16627654387503e-09,0,-3.10329480212104e-12
"Bulgaria",0,0,0,0,0,0
"Burkina Faso",0,0,0,0,0,0
"C<f4>te d<U+0092>Ivoire",-0.513755448872686,NA,-7.53324446350634,-2.20104512547794,-0.0591018706986661,-4.62593678440166
"C<f4>te d<U+0092>Ivoire",NA,-49.3324304610138,NA,NA,NA,NA
"Cambodia",0.066204888546423,0,1.07019499985342,-1.66691456685611,0.0925110592751182,0.554816702824059
"Cameroon",0.23770267925255,-7.64443232901868,-0.0977740337481761,-0.0488325040170636,-2.00962602725143,-0.139734700421382
"Canada",-0.0713107208115389,0,-0.00698567482895307,-0.0449554668977505,-0.561556354425093,-0.00121032690756234
"Cape Verde",3.507925053191,99.4904855995956,88.9035426185226,59.1430092344289,47.9766857778842,88.9815019007785
"Central African Republic",0,0,0,0,0,0
"Chad",0,0,0,0,0,0
"Chile",0.407285498898119,0.794516517931319,0.0505696600307037,0.435629854517856,0.00823237793558786,0
"China",2.64748210522175,3.16958072720467,1.00984355078321,0.0299343065597309,0.0145004780901699,0.0993656540817819
"Colombia",-1.97502458831877e-10,-2.81861005646533e-08,-1.73476877307621e-09,-5.70248293030318e-11,6.56332273143882e-28,-1.69379552050763e-10
