"nutrient","country","iso3","sex_id","age_id","sev_base","sev_high","sev_delta"
"Omega-3 fatty acids","Albania","ALB",1,10,54.670350550588,54.670350550588,0
"Omega-3 fatty acids","Albania","ALB",1,11,54.8893264494314,54.8893264494314,0
"Omega-3 fatty acids","Albania","ALB",1,12,55.852913554525,55.852913554525,0
"Omega-3 fatty acids","Albania","ALB",1,13,47.4732919825207,47.4732919825207,0
"Omega-3 fatty acids","Albania","ALB",1,14,47.1368071945761,47.1368071945761,0
"Omega-3 fatty acids","Albania","ALB",1,15,53.7103089326456,53.7103089326456,0
"Omega-3 fatty acids","Albania","ALB",1,16,58.1512158576921,58.1512158576921,0
"Omega-3 fatty acids","Albania","ALB",1,17,58.9760384418522,58.9760384418522,0
"Omega-3 fatty acids","Albania","ALB",1,18,41.246788825157,41.246788825157,0
"Omega-3 fatty acids","Albania","ALB",1,19,43.8000011987782,43.8000011987782,0
"Omega-3 fatty acids","Albania","ALB",1,20,45.6242679551099,45.6242679551099,0
"Omega-3 fatty acids","Albania","ALB",1,30,48.0898216176395,48.0898216176395,0
"Omega-3 fatty acids","Albania","ALB",1,31,49.4359594822912,49.4359594822912,0
"Omega-3 fatty acids","Albania","ALB",1,32,48.7196879245225,48.7196879245225,0
"Omega-3 fatty acids","Albania","ALB",1,33,48.7196879245225,48.7196879245225,0
"Omega-3 fatty acids","Albania","ALB",2,10,60.2839076694091,60.2839076694091,0
"Omega-3 fatty acids","Albania","ALB",2,11,62.2112509236246,62.2112509236246,0
"Omega-3 fatty acids","Albania","ALB",2,12,63.1297178525418,63.1297178525418,0
"Omega-3 fatty acids","Albania","ALB",2,13,53.5286991375718,53.5286991375718,0
"Omega-3 fatty acids","Albania","ALB",2,14,52.0809704614186,52.0809704614186,0
"Omega-3 fatty acids","Albania","ALB",2,15,63.8770179627492,63.8770179627492,0
"Omega-3 fatty acids","Albania","ALB",2,16,64.8105935134052,64.8105935134052,0
"Omega-3 fatty acids","Albania","ALB",2,17,63.420165059696,63.420165059696,0
"Omega-3 fatty acids","Albania","ALB",2,18,51.3550728543336,51.3550728543336,0
"Omega-3 fatty acids","Albania","ALB",2,19,54.1718182303078,54.1718182303078,0
"Omega-3 fatty acids","Albania","ALB",2,20,54.096180504504,54.096180504504,0
"Omega-3 fatty acids","Albania","ALB",2,30,56.6767461875139,56.6767461875139,0
"Omega-3 fatty acids","Albania","ALB",2,31,59.8432779842827,59.8432779842827,0
"Omega-3 fatty acids","Albania","ALB",2,32,64.5233863530721,64.5233863530721,0
"Omega-3 fatty acids","Albania","ALB",2,33,70.0053026618167,70.0053026618167,0
"Omega-3 fatty acids","Algeria","DZA",1,10,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,11,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,12,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,13,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,14,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,15,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,16,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,17,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,18,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,19,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,20,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,30,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,31,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,32,0,0,0
"Omega-3 fatty acids","Algeria","DZA",1,33,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,10,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,11,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,12,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,13,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,14,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,15,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,16,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,17,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,18,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,19,0,0,0
"Omega-3 fatty acids","Algeria","DZA",2,20,0,0,0
