"scientific_name","tonnes"
"Marine fishes not identified",29470087.8594976
"Sardina pilchardus",4612608.47891236
"Scyphozoa",3159293.90562157
"Synodontidae",3026832.93361296
"Trichiurus lepturus",3001759.21088147
"Acetes japonicus",2400322.51509478
"Sciaenidae",2323279.44551949
"Gadus morhua",2290862.88947103
"Portunus trituberculatus",2237829.55119412
"Squillidae",2189674.91732101
"Leiognathidae",2012890.24908673
"Perciformes",1857687.25867908
"Decapoda",1816096.61383396
"Penaeidae",1746189.26483524
"Teuthida",1726770.01903157
"Larimichthys polyactis",1698162.28624463
"Merluccius hubbsi",1690299.3567327
"Miscellaneous marine crustaceans",1665807.31418262
"Sparidae",1629201.12732724
"Micromesistius poutassou",1554153.46523774
"Merluccius",1515619.69292568
"Nemipteridae",1472910.91418266
"Trachysalambria curvirostris",1407236.69890003
"Todarodes pacificus",1371015.82394506
"Nemipterus",1362901.06974117
"Rastrelliger kanagurta",1350558.28186504
"Pampus",1232111.29387047
"Mollusca",1150327.15636832
"Cephalopoda",1077159.74774069
"Selaroides leptolepis",1040791.49576686
"Sepiidae",1039887.47755742
"Harpadon nehereus",1034688.48995307
"Sardinella longiceps",949611.45218139
"Loliginidae",917366.008288748
"Dendrobranchiata",907420.180871746
"Pectinidae",886581.258110097
"Scombridae",873657.381553616
"Clupeiformes",748760.479426773
"Melanogrammus aeglefinus",743680.68155665
"Pollachius virens",722860.750069701
"Octopoda",712123.120130681
"Theragra chalcogramma",696123.276882453
"Carangidae",678827.180157594
"Lutjanus",667575.074554523
"Limanda aspera",666698.244888635
"Clupeidae",628971.804843157
"Sepiida",614842.591012763
"Portunus pelagicus",604742.771211414
"Fenneropenaeus chinensis",599042.209430059
"Micromesistius australis",564021.806643348
"Macruronus novaezelandiae",557706.260332247
"Merluccius merluccius",554896.993736025
"Leiognathus",551035.831547701
"Merluccius productus",550123.051672278
"Brachyura",543570.42376905
"Netuma thalassina",528194.286331285
"Engraulis japonicus",465284.122521565
"Parastromateus niger",459546.60947944
"Engraulidae",459302.127051859
"Scomber japonicus",451109.107652131
"Ammodytes personatus",446806.825296142
"Pleuronectes platessa",442402.633548254
"Muraenesox cinereus",435879.09808657
"Priacanthidae",424703.567356084
"Caranx",412607.978304012
"Lates calcarifer",411013.467088863
"Reinhardtius hippoglossoides",402517.706310594
"Charybdis",399885.765131025
"Larimichthys crocea",391644.244742329
"Priacanthus",388386.168586639
"Pennahia argentata",371712.837116516
"Decapterus",371502.399243904
"Engraulis encrasicolus",364004.966020019
"Saurida",362104.431311188
"Chionoecetes",361843.114330969
"Mugilidae",360807.136123504
"Nemipterus hexodon",353702.941114167
"Gadus macrocephalus",343967.304348765
"Ariidae",342523.935862204
"Trichiuridae",335577.396089256
"Trachurus trecae",323996.558547453
"Mullidae",320803.274945799
"Merluccius gayi peruanus",308091
"Clupea harengus",307876.708390789
"Polynemidae",297516.789148447
"Mugil cephalus",293425.546304803
"Acetes",289425.889039301
"Sepia",287358.652376192
"Lethrinidae",282016.926683068
