"scientific_name","fishing_entity","tonnes"
"Marine fishes not identified","China",9099634.44900142
"Sardina pilchardus","Morocco",4499276.14015387
"Marine fishes not identified","Indonesia",3689488.96411089
"Scyphozoa","China",3156894.70963867
"Trichiurus lepturus","China",2603976.01218478
"Synodontidae","Viet Nam",2440078.43480625
"Acetes japonicus","China",2400322.51509478
"Portunus trituberculatus","China",2222505.23845857
"Squillidae","China",2183898.18813391
"Marine fishes not identified","Myanmar",1751755.62868691
"Marine fishes not identified","Japan",1623096.26402839
"Larimichthys polyactis","China",1615132.43115196
"Marine fishes not identified","Spain",1599597.98132389
"Merluccius hubbsi","Argentina",1487456.30140983
"Trachysalambria curvirostris","China",1407052.76781455
"Perciformes","Viet Nam",1404958.31439462
"Micromesistius poutassou","Norway",1395176.3707352
"Marine fishes not identified","Hong Kong",1380410.4151633
"Miscellaneous marine crustaceans","China",1337560.33399808
"Teuthida","China",1330467.04582557
"Leiognathidae","Viet Nam",1329502.77454816
"Marine fishes not identified","India",1192102.50136783
"Pampus","China",1153966.52983534
"Sparidae","Viet Nam",1027798.9132923
"Selaroides leptolepis","Indonesia",993941.178757264
"Sardinella longiceps","India",948294.25280289
"Marine fishes not identified","Poland",933328.413604099
"Pectinidae","Japan",886409.465074719
"Todarodes pacificus","China",851579.061281584
"Marine fishes not identified","Korea (South)",831331.984272743
"Rastrelliger kanagurta","India",819653.188997686
"Marine fishes not identified","Russian Federation",804778.377032681
"Mollusca","China",804408.644291524
"Merluccius","Namibia",797048.785393036
"Decapoda","China",777986.278259625
"Marine fishes not identified","Denmark",750525.79730377
"Gadus morhua","Russian Federation",734945.74812978
"Scombridae","Viet Nam",716797.358693961
"Clupeiformes","India",688788.406544529
"Limanda aspera","USA",666698.244888635
"Decapoda","India",664057.328909373
"Merluccius","South Africa",661282.95
"Nemipteridae","Thailand",642393.700062407
"Dendrobranchiata","Viet Nam",642116.655704836
"Marine fishes not identified","Bangladesh",625962.289135674
"Marine fishes not identified","Norway",618805.606181376
"Lutjanus","Indonesia",617664.379450648
"Sciaenidae","Viet Nam",601936.382730952
"Fenneropenaeus chinensis","China",599042.209430059
"Sepiida","China",585236.159738006
"Gadus morhua","Iceland",568820.45329926
"Penaeidae","India",564461.840355124
"Penaeidae","Viet Nam",541998.262923672
"Loliginidae","Viet Nam",541359.17045144
"Micromesistius australis","Argentina",531795.159937783
"Nemipteridae","India",509923.255240839
"Brachyura","China",509669.171984769
"Sparidae","China",506731.922043014
"Sepiidae","Viet Nam",505268.559086011
"Netuma thalassina","Indonesia",496656.810246216
"Harpadon nehereus","China",488614.600341143
"Marine fishes not identified","Malaysia",487010.953522252
"Sciaenidae","India",480052.510017363
"Leiognathus","Indonesia",475588.962712134
"Engraulis japonicus","Korea (South)",461627.938403294
"Macruronus novaezelandiae","New Zealand",453162.297473529
"Nemipterus","China",451395.791616201
"Gadus morhua","Norway",439113.198819448
"Scomber japonicus","Korea (South)",437773.848123581
"Priacanthidae","Viet Nam",424391.1908406
"Octopoda","China",420300.098545576
"Portunus pelagicus","China",413906.935961611
"Sciaenidae","China",406640.808069744
"Muraenesox cinereus","China",406593.14784573
"Ammodytes personatus","China",404567.415887156
"Perciformes","India",401551.591730384
"Charybdis","China",398342.190091789
"Lates calcarifer","Indonesia",395784.693523713
"Todarodes pacificus","Korea (South)",391654.308143783
"Harpadon nehereus","India",390696.686804768
"Larimichthys crocea","China",389775.438628363
"Pollachius virens","Norway",383931.230842835
"Merluccius merluccius","Spain",381892.360105265
"Caranx","Indonesia",379354.566908742
"Pennahia argentata","China",365941.240098095
"Rastrelliger kanagurta","Thailand",362104.575228317
"Nemipterus hexodon","Indonesia",351850.452992235
"Decapterus","India",341484.019389804
"Theragra chalcogramma","USA",340876.742691064
"Nemipterus","Viet Nam",337446.141180544
"Trachurus trecae","Angola",322177.516738571
"Decapoda","Indonesia",315072.791507129
"Leiognathidae","India",313400.457423693
"Loliginidae","Thailand",309773.178661032
"Parastromateus niger","Indonesia",308990.633639211
"Merluccius gayi peruanus","Peru",308091
"Carangidae","India",305899.006945334
"Engraulis encrasicolus","Turkey",304138.607870376
"Teuthida","India",302954.652695021
"Sciaenidae","Myanmar",301802.027964616
"Merluccius productus","USA",300237.856510103
"Marine fishes not identified","Thailand",288838.826546346
"Nemipterus","Indonesia",288486.341867299
"Acetes","Malaysia",285300.762855426
"Synodontidae","Thailand",284037.423369693
"Theragra chalcogramma","Japan",282607.540753
"Engraulidae","Viet Nam",278698.759728341
"Pleurogrammus monopterygius","USA",278193.158637922
"Sepiidae","India",272411.114547408
"Mugil cephalus","China",271211.131365836
"Octopoda","Morocco",268376.751991463
"Pleuronectes platessa","Netherlands",265719.810524561
"Chionoecetes","China",264244.531927998
"Marine fishes not identified","Italy",264069.209112783
"Caesionidae","Indonesia",262870.455193313
"Clupeidae","Viet Nam",259846.746340764
"Carangidae","Thailand",258451.115101848
"Marine finfishes not identified","USA",254984.485463971
"Priacanthus","Viet Nam",250327.692968508
"Merluccius productus","Canada",249885.195162175
"Cephalopholis boenak","Indonesia",245000.768024997
"Gadus macrocephalus","USA",244412.558918476
"Melanogrammus aeglefinus","Russian Federation",243532.39537438
"Sebastes alutus","USA",242726.253057463
"Clupeidae","India",239169.194479384
"Nemipterus","Malaysia",238660.145315849
"Siluriformes","India",237633.465266081
"Mugilidae","Indonesia",236845.851539422
"Doryteuthis gahi","Falkland Isl. (UK)",234957
"Pampus argenteus","Indonesia",232340.077364358
"Pollachius virens","Iceland",230791.302319822
"Marine fishes not identified","Cape Verde",228751.795560004
"Miscellaneous marine crustaceans","Indonesia",224892.563188897
"Synodontidae","India",223784.649145065
"Macruronus magellanicus","Argentina",222368.458726683
"Sciaenidae","Thailand",222022.482449383
"Penaeidae","Myanmar",221855.245181059
"Fenneropenaeus indicus","Indonesia",221824.286970919
"Trichiuridae","Indonesia",211892.635712512
"Monacanthidae","China",208002.883541253
"Nemipteridae","Hong Kong",204606.404850691
"Marine fishes not identified","Morocco",203595.590056958
"Marine fishes not identified","Malta",201465.178953323
"Stolephorus","India",200801.340749925
"Saurida","Malaysia",200424.900359215
"Ariidae","Viet Nam",198113.29492121
"Mullidae","Viet Nam",198113.29492121
"Marine fishes not identified","Taiwan",193228.185212432
"Lethrinidae","Indonesia",189978.706339485
"Lepidopsetta bilineata","USA",189080.330044773
"Sciaenidae","Indonesia",186908.38524323
"Metapenaeus","Indonesia",183138.394483186
"Marine fishes not identified","Philippines",182183.123241721
"Pennahia","Malaysia",176106.936536967
"Illex illecebrosus","USA",173732.836352953
"Marine fishes not identified","Korea (North)",171506.781368792
