"scientific_name","fishing_entity","gear","sector","year","tonnes"
"Marine fishes not identified","China","bottom trawl","Industrial",2017,1976797.34341707
"Marine fishes not identified","China","bottom trawl","Industrial",2016,1936192.32334541
"Marine fishes not identified","China","bottom trawl","Industrial",2015,1873365.22399643
"Marine fishes not identified","China","bottom trawl","Industrial",2018,1703952.01942218
"Marine fishes not identified","China","bottom trawl","Industrial",2014,1609327.53882034
"Sardina pilchardus","Morocco","bottom trawl","Industrial",2018,948345.82021236
"Sardina pilchardus","Morocco","bottom trawl","Industrial",2017,942671.51519992
"Sardina pilchardus","Morocco","bottom trawl","Industrial",2016,916498.610124129
"Sardina pilchardus","Morocco","bottom trawl","Industrial",2014,848853.928391054
"Sardina pilchardus","Morocco","bottom trawl","Industrial",2015,842906.26622641
"Trichiurus lepturus","China","bottom trawl","Industrial",2014,786186.258515733
"Marine fishes not identified","Indonesia","bottom trawl","Industrial",2018,777895.595291865
"Marine fishes not identified","Indonesia","bottom trawl","Industrial",2017,771575.533087122
"Marine fishes not identified","Indonesia","bottom trawl","Industrial",2015,731625.738063751
"Marine fishes not identified","Indonesia","bottom trawl","Industrial",2016,725875.237258049
"Scyphozoa","China","bottom trawl","Industrial",2014,716774.618976875
"Marine fishes not identified","Indonesia","bottom trawl","Industrial",2014,682516.860410102
"Scyphozoa","China","bottom trawl","Industrial",2015,638395.91580482
"Scyphozoa","China","bottom trawl","Industrial",2016,635980.19553055
"Scyphozoa","China","bottom trawl","Industrial",2017,603563.57515627
"Scyphozoa","China","bottom trawl","Industrial",2018,562180.404170158
"Acetes japonicus","China","bottom trawl","Industrial",2015,557921.140413329
"Acetes japonicus","China","bottom trawl","Industrial",2016,554786.43175603
"Squillidae","China","bottom trawl","Industrial",2016,539923.5
"Synodontidae","Viet Nam","bottom trawl","Industrial",2018,538307.2921
"Squillidae","China","bottom trawl","Industrial",2017,537525.7
"Trichiurus lepturus","China","bottom trawl","Industrial",2018,533074.625037498
"Acetes japonicus","China","bottom trawl","Industrial",2017,525467.398246277
"Squillidae","China","bottom trawl","Industrial",2015,515022.999999999
"Synodontidae","Viet Nam","bottom trawl","Industrial",2017,502097.979494567
"Synodontidae","Viet Nam","bottom trawl","Industrial",2016,483925.873546134
"Portunus trituberculatus","China","bottom trawl","Industrial",2015,480754.877765294
"Portunus trituberculatus","China","bottom trawl","Industrial",2016,478030.771398057
"Synodontidae","Viet Nam","bottom trawl","Industrial",2015,466602.658829283
"Portunus trituberculatus","China","bottom trawl","Industrial",2017,452721.259660922
"Synodontidae","Viet Nam","bottom trawl","Industrial",2014,449144.630836265
"Portunus trituberculatus","China","bottom trawl","Industrial",2014,441004.991554828
"Trichiurus lepturus","China","bottom trawl","Industrial",2016,434982.974994125
"Trichiurus lepturus","China","bottom trawl","Industrial",2015,431565.165353297
"Miscellaneous marine crustaceans","China","bottom trawl","Industrial",2014,421187.762291628
"Trichiurus lepturus","China","bottom trawl","Industrial",2017,418166.988284125
"Merluccius hubbsi","Argentina","bottom trawl","Industrial",2016,414561.691131134
"Acetes japonicus","China","bottom trawl","Industrial",2018,412415.119291007
"Merluccius hubbsi","Argentina","bottom trawl","Industrial",2014,385765.708491472
"Marine fishes not identified","Myanmar","bottom trawl","Industrial",2017,380065.423077947
"Portunus trituberculatus","China","bottom trawl","Industrial",2018,369993.338079469
"Larimichthys polyactis","China","bottom trawl","Industrial",2015,369212.269
"Squillidae","China","bottom trawl","Industrial",2018,368663.690133912
"Micromesistius poutassou","Norway","bottom trawl","Industrial",2018,367999.819304185
"Larimichthys polyactis","China","bottom trawl","Industrial",2016,367116.35
"Marine fishes not identified","Spain","bottom trawl","Industrial",2018,364694.46975482
"Marine fishes not identified","Myanmar","bottom trawl","Industrial",2016,356754.383730131
"Acetes japonicus","China","bottom trawl","Industrial",2014,349732.425388142
"Larimichthys polyactis","China","bottom trawl","Industrial",2017,347675.93
"Marine fishes not identified","Japan","bottom trawl","Industrial",2016,346863.447166531
"Marine fishes not identified","Myanmar","bottom trawl","Industrial",2018,344915.664217428
"Marine fishes not identified","Japan","bottom trawl","Industrial",2015,337385.215087612
"Marine fishes not identified","Myanmar","bottom trawl","Industrial",2014,336913.169297816
"Marine fishes not identified","Spain","bottom trawl","Industrial",2017,336601.710736997
"Marine fishes not identified","Spain","bottom trawl","Industrial",2015,333438.778099318
"Marine fishes not identified","Myanmar","bottom trawl","Industrial",2015,333106.988363591
"Marine fishes not identified","Spain","bottom trawl","Industrial",2016,328754.359749727
"Marine fishes not identified","Hong Kong","bottom trawl","Industrial",2018,325379.949354506
"Marine fishes not identified","Japan","bottom trawl","Industrial",2014,321290.522896172
"Pectinidae","Japan","bottom trawl","Industrial",2014,320550.704849416
"Marine fishes not identified","Russian Federation","bottom trawl","Industrial",2014,316231.723386471
"Trachysalambria curvirostris","China","bottom trawl","Industrial",2015,315927.902608
"Micromesistius poutassou","Norway","bottom trawl","Industrial",2017,315905.590968687
"Marine fishes not identified","Denmark","bottom trawl","Industrial",2017,314976.3547939
"Teuthida","China","bottom trawl","Industrial",2014,314299.066273
"Marine fishes not identified","Japan","bottom trawl","Industrial",2018,314249.46407241
"Trachysalambria curvirostris","China","bottom trawl","Industrial",2016,314128.461337
"Perciformes","Viet Nam","bottom trawl","Industrial",2018,308603.8179
"Sardinella longiceps","India","bottom trawl","Industrial",2014,306072.127412629
"Marine fishes not identified","Japan","bottom trawl","Industrial",2017,303307.614805668
"Trachysalambria curvirostris","China","bottom trawl","Industrial",2017,297480.639966
"Leiognathidae","Viet Nam","bottom trawl","Industrial",2018,292059.87199
"Perciformes","Viet Nam","bottom trawl","Industrial",2017,289480.323149182
"Marine fishes not identified","Hong Kong","bottom trawl","Industrial",2014,284824.86423988
"Merluccius hubbsi","Argentina","bottom trawl","Industrial",2017,281389.738669461
"Perciformes","Viet Nam","bottom trawl","Industrial",2016,278994.325052228
"Marine fishes not identified","India","bottom trawl","Industrial",2018,278956.099954501
"Merluccius hubbsi","Argentina","bottom trawl","Industrial",2018,276648.801006771
"Leiognathidae","Viet Nam","bottom trawl","Industrial",2017,273925.300483972
"Larimichthys polyactis","China","bottom trawl","Industrial",2018,269386.213085664
"Perciformes","Viet Nam","bottom trawl","Industrial",2015,268979.344327638
"Miscellaneous marine crustaceans","China","bottom trawl","Industrial",2018,264152.391468858
"Leiognathidae","Viet Nam","bottom trawl","Industrial",2016,264002.672918793
"Teuthida","China","bottom trawl","Industrial",2015,263212.956
"Larimichthys polyactis","China","bottom trawl","Industrial",2014,261741.6690663
"Teuthida","China","bottom trawl","Industrial",2016,261734.194
"Perciformes","Viet Nam","bottom trawl","Industrial",2014,258900.503965571
"Marine fishes not identified","Hong Kong","bottom trawl","Industrial",2017,258770.080453907
"Marine fishes not identified","Hong Kong","bottom trawl","Industrial",2016,257430.141715397
"Leiognathidae","Viet Nam","bottom trawl","Industrial",2015,254526.093254018
"Marine fishes not identified","Hong Kong","bottom trawl","Industrial",2015,254005.379399609
"Pampus","China","bottom trawl","Industrial",2014,251919.57962351
"Teuthida","China","bottom trawl","Industrial",2017,247907.002
"Leiognathidae","Viet Nam","bottom trawl","Industrial",2014,244988.835901378
"Trachysalambria curvirostris","China","bottom trawl","Industrial",2014,243443.139246284
"Teuthida","China","bottom trawl","Industrial",2018,243313.827552571
"Marine fishes not identified","India","bottom trawl","Industrial",2017,243122.722427382
"Micromesistius poutassou","Norway","bottom trawl","Industrial",2016,242844.618477999
"Marine fishes not identified","India","bottom trawl","Industrial",2014,241570.798987636
"Mollusca","China","bottom trawl","Industrial",2018,240786.97124533
"Micromesistius poutassou","Norway","bottom trawl","Industrial",2015,239699.045720598
"Pampus","China","bottom trawl","Industrial",2015,237512.67481
"Pampus","China","bottom trawl","Industrial",2016,236176.11571
"Marine fishes not identified","Spain","bottom trawl","Industrial",2014,236108.662983025
"Trachysalambria curvirostris","China","bottom trawl","Industrial",2018,236072.624657267
"Marine fishes not identified","India","bottom trawl","Industrial",2016,233422.710859295
"Pectinidae","Japan","bottom trawl","Industrial",2015,230373.182495095
"Micromesistius poutassou","Norway","bottom trawl","Industrial",2014,228727.296263729
"Sparidae","Viet Nam","bottom trawl","Industrial",2018,225884.08792
"Pampus","China","bottom trawl","Industrial",2017,223694.46661
"Squillidae","China","bottom trawl","Industrial",2014,222762.298
"Miscellaneous marine crustaceans","China","bottom trawl","Industrial",2015,222407.354306312
"Miscellaneous marine crustaceans","China","bottom trawl","Industrial",2016,220868.591210005
"Pectinidae","Japan","bottom trawl","Industrial",2016,215786.215692182
"Sardinella longiceps","India","bottom trawl","Industrial",2017,215277.007669461
"Sparidae","Viet Nam","bottom trawl","Industrial",2017,211734.784463129
"Selaroides leptolepis","Indonesia","bottom trawl","Industrial",2017,210381.716972219
"Miscellaneous marine crustaceans","China","bottom trawl","Industrial",2017,208944.234721278
"Selaroides leptolepis","Indonesia","bottom trawl","Industrial",2018,207752.337594804
"Marine fishes not identified","Poland","bottom trawl","Industrial",2018,207282.05531761
"Pampus","China","bottom trawl","Industrial",2018,204663.693081829
"Sparidae","Viet Nam","bottom trawl","Industrial",2016,204065.639025044
"Todarodes pacificus","China","bottom trawl","Industrial",2015,200968.4875
"Todarodes pacificus","China","bottom trawl","Industrial",2016,200178.5219
"Selaroides leptolepis","Indonesia","bottom trawl","Industrial",2015,197066.446875153
"Sparidae","Viet Nam","bottom trawl","Industrial",2015,196742.66359953
"Marine fishes not identified","India","bottom trawl","Industrial",2015,195030.16913902
"Selaroides leptolepis","Indonesia","bottom trawl","Industrial",2016,194707.89218866
"Nemipterus","China","bottom trawl","Industrial",2014,192436.854886065
"Marine fishes not identified","Korea (South)","bottom trawl","Industrial",2014,192122.940341586
"Marine fishes not identified","Poland","bottom trawl","Industrial",2017,191849.407443
"Mollusca","China","bottom trawl","Industrial",2016,190928.435744772
"Mollusca","China","bottom trawl","Industrial",2015,190104.703951984
"Todarodes pacificus","China","bottom trawl","Industrial",2017,189910.5563
"Sparidae","Viet Nam","bottom trawl","Industrial",2014,189371.7382846
"Rastrelliger kanagurta","India","bottom trawl","Industrial",2018,186012.061228733
"Marine fishes not identified","Poland","bottom trawl","Industrial",2016,185553.003843
"Rastrelliger kanagurta","India","bottom trawl","Industrial",2017,184873.374595154
"Decapoda","China","bottom trawl","Industrial",2014,184121.036715535
"Selaroides leptolepis","Indonesia","bottom trawl","Industrial",2014,184032.785126428
"Mollusca","China","bottom trawl","Industrial",2017,182587.195744772
"Marine fishes not identified","Russian Federation","bottom trawl","Industrial",2015,181260.335448808
"Gadus morhua","Russian Federation","bottom trawl","Industrial",2016,179385.30819198
"Marine fishes not identified","Poland","bottom trawl","Industrial",2015,179257.33897
"Sciaenidae","China","bottom trawl","Industrial",2014,174883.869000861
"Marine fishes not identified","Korea (South)","bottom trawl","Industrial",2017,173315.543468008
"Muraenesox cinereus","China","bottom trawl","Industrial",2014,171587.0808181
"Merluccius","Namibia","bottom trawl","Industrial",2017,169821.38116
"Marine fishes not identified","Poland","bottom trawl","Industrial",2014,169386.608030489
"Marine fishes not identified","Korea (South)","bottom trawl","Industrial",2018,169331.004249975
"Merluccius","Namibia","bottom trawl","Industrial",2016,168734.72761
"Merluccius","Namibia","bottom trawl","Industrial",2018,167046.786673714
"Sardinella longiceps","India","bottom trawl","Industrial",2015,164517.412534522
"Gadus morhua","Russian Federation","bottom trawl","Industrial",2014,164210.146458253
"Scombridae","Viet Nam","bottom trawl","Industrial",2018,163993.9785
"Rastrelliger kanagurta","India","bottom trawl","Industrial",2016,163165.57715921
"Sardinella longiceps","India","bottom trawl","Industrial",2016,160717.739538658
"Marine fishes not identified","Norway","bottom trawl","Industrial",2017,159034.970472687
