"scientific_name","fishing_entity","gear","sector","year","tonnes"
"Marine fishes not identified","Philippines","bottom trawl","Industrial",2015,40639.5011880459
"Marine fishes not identified","Philippines","bottom trawl","Industrial",2014,39139.8257161224
"Marine fishes not identified","Philippines","bottom trawl","Industrial",2016,38013.2627684722
"Marine fishes not identified","Philippines","bottom trawl","Industrial",2017,34186.4864037225
"Marine fishes not identified","Philippines","bottom trawl","Industrial",2018,30204.0471653579
"Clupanodon thrissa","Philippines","bottom trawl","Industrial",2014,17356.390060631
"Clupanodon thrissa","Philippines","bottom trawl","Industrial",2016,16340.0882700716
"Clupanodon thrissa","Philippines","bottom trawl","Industrial",2015,14959.436032907
"Clupanodon thrissa","Philippines","bottom trawl","Industrial",2017,13371.8692534902
"Sardinella","Philippines","bottom trawl","Industrial",2018,8831.48493035764
"Leiognathus","Philippines","bottom trawl","Industrial",2016,7487.55860368534
"Leiognathus","Philippines","bottom trawl","Industrial",2014,7403.4093523202
"Leiognathus","Philippines","bottom trawl","Industrial",2015,6961.41786010649
"Leiognathus","Philippines","bottom trawl","Industrial",2017,6497.07776721175
"Decapterus macrosoma","Philippines","bottom trawl","Industrial",2014,5920.088104951
"Decapterus macrosoma","Philippines","bottom trawl","Industrial",2015,4939.33761253636
"Decapterus macrosoma","Philippines","bottom trawl","Industrial",2016,4690.56728388932
"Marine finfishes not identified","Philippines","bottom trawl","Industrial",2018,4531.81221741412
"Decapterus macrosoma","Philippines","bottom trawl","Industrial",2017,3800.05473152972
"Engraulidae","Philippines","bottom trawl","Industrial",2014,3264.459351847
"Sardinella fimbriata","Philippines","bottom trawl","Industrial",2014,3231.829058297
"Trichiurus lepturus","Philippines","bottom trawl","Industrial",2016,2826.7495236313
"Engraulidae","Philippines","bottom trawl","Industrial",2015,2785.24884215615
"Engraulidae","Philippines","bottom trawl","Industrial",2018,2732.01863369845
"Sardinella fimbriata","Philippines","bottom trawl","Industrial",2015,2614.97265068635
"Sardinella fimbriata","Philippines","bottom trawl","Industrial",2017,2550.54435195094
"Engraulidae","Philippines","bottom trawl","Industrial",2016,2502.16623018231
"Sardinella fimbriata","Philippines","bottom trawl","Industrial",2016,2386.05264922808
"Trichiurus lepturus","Philippines","bottom trawl","Industrial",2015,2253.32345084866
"Engraulidae","Philippines","bottom trawl","Industrial",2017,2247.73365452239
"Trichiurus lepturus","Philippines","bottom trawl","Industrial",2014,2210.826268272
"Trichiurus lepturus","Philippines","bottom trawl","Industrial",2017,2178.518989899
"Upeneus moluccensis","Philippines","bottom trawl","Industrial",2014,1769.103811395
